iter	Passed	Remaining
803	1690	412
804	1691	409
805	1693	407
806	1694	405
807	1695	402
808	1696	400
809	1698	398
810	1701	396
811	1702	394
812	1704	392
813	1705	389
814	1707	387
815	1708	385
816	1709	382
817	1710	380
818	1712	378
819	1715	376
820	1717	374
821	1719	372
822	1721	370
823	1722	367
824	1723	365
825	1724	363
826	1726	361
827	1727	358
828	1731	357
829	1733	355
830	1735	352
831	1736	350
832	1738	348
833	1740	346
834	1741	344
835	1744	342
836	1746	340
837	1748	337
838	1749	335
839	1751	333
840	1752	331
841	1753	329
842	1755	326
843	1756	324
844	1759	322
845	1761	320
846	1762	318
847	1764	316
848	1765	314
849	1767	311
850	1768	309
851	1769	307
852	1770	305
853	1773	303
854	1775	301
855	1776	298
856	1778	296
857	1779	294
858	1780	292
859	1782	290
860	1783	287
861	1784	285
862	1787	283
863	1789	281
864	1791	279
865	1792	277
866	1794	275
867	1795	273
868	1796	270
869	1798	268
870	1799	266
871	1801	264
872	1803	262
873	1806	260
874	1807	258
875	1808	256
876	1810	253
877	1811	251
878	1812	249
879	1813	247
880	1816	245
881	1818	243
882	1821	241
883	1824	239
884	1826	237
885	1834	235
886	1835	233
887	1837	231
888	1838	229
889	1839	227
890	1841	225
891	1842	223
892	1843	220
893	1846	218
894	1848	216
895	1850	214
896	1851	212
897	1852	210
898	1854	208
899	1855	206
900	1856	204
901	1858	201
902	1861	199
903	1863	197
904	1865	195
905	1866	193
906	1867	191
907	1868	189
908	1870	187
909	1871	185
910	1872	182
911	1875	181
912	1877	178
913	1879	176
914	1881	174
915	1882	172
916	1883	170
917	1885	168
918	1886	166
919	1887	164
920	1891	162
921	1892	160
922	1894	158
923	1895	155
924	1897	153
925	1898	151
926	1899	149
927	1900	147
928	1902	145
929	1905	143
930	1907	141
931	1909	139
932	1910	137
933	1911	135
934	1913	132
935	1914	130
936	1915	128
937	1916	126
938	1920	124
939	1923	122
940	1925	120
941	1927	118
942	1929	116
943	1931	114
944	1936	112
945	1938	110
946	1940	108
947	1942	106
948	1944	104
949	1945	102
950	1947	100
951	1949	98
952	1950	96
953	1952	94
954	1954	92
955	1955	90
956	1957	87
957	1958	85
958	1960	83
959	1962	81
960	1964	79
961	1966	77
962	1967	75
963	1968	73
964	1970	71
965	1971	69
966	1972	67
967	1974	65
968	1975	63
969	1978	61
970	1979	59
971	1981	57
972	1983	55
973	1984	52
974	1985	50
975	1986	48
976	1988	46
977	1989	44
978	1992	42
979	1993	40
980	1995	38
981	1996	36
982	1998	34
983	1999	32
984	2000	30
985	2002	28
986	2003	26
987	2006	24
988	2009	22
989	2011	20
990	2012	18
991	2014	16
992	2016	14
993	2017	12
994	2021	10
995	2023	8
996	2025	6
997	2027	4
998	2029	2
999	2030	0
